2-响应时间, 2-运输时间, 2-运输成本,3-响应时间, 3-运输时间, 3-执行时间, 3-运输成本, 3-执行成本
35.0,65.0,43.0,10.0,7.0,5.0,116.0,113.0
60.0,64.0,62.0,83.0,25.0,50.0,101.0,138.0
22.0,67.0,7.0,47.0,83.0,25.0,90.0,99.0
7.0,19.0,66.0,75.0,51.0,54.0,107.0,121.0
46.0,87.0,27.0,61.0,63.0,20.0,26.0,147.0
50.0,46.0,79.0,12.0,74.0,85.0,66.0,71.0
48.0,27.0,115.0,32.0,71.0,68.0,117.0,101.0
26.0,8.0,110.0,45.0,81.0,63.0,6.0,14.0
12.0,78.0,5.0,38.0,71.0,34.0,33.0,150.0
85.0,81.0,142.0,8.0,83.0,79.0,86.0,148.0
34.0,35.0,107.0,15.0,23.0,45.0,20.0,42.0
28.0,78.0,93.0,51.0,59.0,76.0,139.0,132.0
17.0,23.0,107.0,38.0,79.0,78.0,139.0,90.0
77.0,27.0,11.0,31.0,77.0,75.0,24.0,9.0
85.0,80.0,130.0,77.0,57.0,73.0,136.0,14.0
51.0,70.0,41.0,90.0,51.0,61.0,118.0,23.0
29.0,73.0,43.0,51.0,69.0,49.0,141.0,112.0
14.0,32.0,124.0,72.0,86.0,58.0,15.0,70.0
63.0,29.0,98.0,45.0,69.0,21.0,112.0,69.0
58.0,85.0,6.0,58.0,16.0,76.0,67.0,56.0
90.0,60.0,10.0,58.0,62.0,59.0,113.0,23.0
10.0,46.0,90.0,73.0,30.0,51.0,20.0,60.0
54.0,24.0,77.0,41.0,47.0,66.0,44.0,60.0
75.0,65.0,29.0,36.0,62.0,39.0,11.0,33.0
73.0,46.0,41.0,83.0,68.0,58.0,120.0,149.0
90.0,15.0,47.0,74.0,37.0,54.0,28.0,135.0
7.0,58.0,145.0,16.0,22.0,28.0,85.0,104.0
49.0,86.0,86.0,53.0,76.0,58.0,51.0,103.0
81.0,5.0,69.0,74.0,84.0,5.0,76.0,143.0
51.0,64.0,31.0,74.0,42.0,69.0,9.0,94.0
16.0,17.0,115.0,23.0,69.0,79.0,86.0,149.0
90.0,46.0,64.0,58.0,39.0,53.0,7.0,129.0
81.0,88.0,61.0,41.0,34.0,69.0,58.0,106.0
87.0,66.0,51.0,20.0,10.0,5.0,14.0,108.0
59.0,8.0,62.0,23.0,90.0,41.0,135.0,24.0
75.0,21.0,44.0,67.0,27.0,23.0,63.0,128.0
38.0,89.0,115.0,29.0,62.0,25.0,26.0,9.0
69.0,57.0,147.0,50.0,29.0,31.0,148.0,111.0
43.0,19.0,89.0,70.0,79.0,28.0,119.0,38.0
12.0,44.0,102.0,75.0,23.0,17.0,75.0,75.0
89.0,71.0,98.0,49.0,14.0,40.0,24.0,20.0
54.0,69.0,133.0,30.0,54.0,15.0,141.0,131.0
65.0,68.0,102.0,62.0,64.0,44.0,56.0,74.0
44.0,79.0,36.0,59.0,73.0,42.0,129.0,135.0
85.0,60.0,68.0,47.0,13.0,60.0,124.0,47.0
7.0,57.0,116.0,64.0,53.0,78.0,41.0,23.0
51.0,26.0,64.0,78.0,82.0,75.0,96.0,72.0
11.0,19.0,14.0,43.0,81.0,43.0,46.0,143.0
79.0,57.0,35.0,86.0,45.0,82.0,68.0,124.0
54.0,78.0,15.0,60.0,70.0,18.0,70.0,86.0
78.0,82.0,51.0,42.0,89.0,20.0,54.0,17.0
43.0,81.0,55.0,70.0,85.0,74.0,27.0,49.0
25.0,44.0,30.0,67.0,40.0,72.0,126.0,32.0
9.0,63.0,122.0,10.0,12.0,27.0,42.0,66.0
89.0,23.0,48.0,11.0,81.0,16.0,76.0,28.0
20.0,86.0,105.0,65.0,53.0,11.0,56.0,48.0
16.0,23.0,32.0,11.0,21.0,49.0,114.0,84.0
14.0,36.0,36.0,81.0,89.0,34.0,22.0,129.0
8.0,47.0,150.0,49.0,27.0,82.0,21.0,61.0
45.0,9.0,111.0,50.0,30.0,5.0,94.0,82.0
10.0,23.0,73.0,27.0,65.0,6.0,70.0,135.0
13.0,60.0,107.0,80.0,57.0,71.0,29.0,41.0
75.0,90.0,150.0,36.0,40.0,82.0,84.0,127.0
75.0,77.0,123.0,44.0,39.0,12.0,42.0,81.0
86.0,41.0,72.0,47.0,59.0,19.0,128.0,145.0
9.0,66.0,11.0,51.0,72.0,76.0,57.0,10.0
78.0,80.0,145.0,81.0,49.0,29.0,129.0,114.0
84.0,51.0,45.0,60.0,6.0,21.0,91.0,137.0
47.0,48.0,114.0,5.0,61.0,21.0,140.0,39.0
56.0,63.0,31.0,76.0,80.0,45.0,132.0,80.0
59.0,50.0,143.0,82.0,56.0,53.0,77.0,13.0
5.0,84.0,138.0,73.0,83.0,64.0,51.0,122.0
45.0,29.0,96.0,75.0,7.0,12.0,86.0,108.0
72.0,74.0,141.0,43.0,22.0,39.0,108.0,147.0
73.0,50.0,138.0,52.0,70.0,89.0,146.0,17.0
55.0,86.0,84.0,46.0,62.0,55.0,61.0,142.0
8.0,11.0,116.0,28.0,83.0,38.0,52.0,96.0
9.0,33.0,14.0,10.0,14.0,27.0,117.0,67.0
80.0,8.0,127.0,35.0,32.0,82.0,47.0,64.0
60.0,51.0,150.0,77.0,53.0,11.0,15.0,43.0
89.0,73.0,87.0,6.0,69.0,61.0,100.0,9.0
37.0,76.0,22.0,44.0,68.0,37.0,128.0,87.0
36.0,43.0,23.0,68.0,70.0,56.0,26.0,51.0
65.0,6.0,117.0,86.0,77.0,86.0,68.0,93.0
16.0,70.0,89.0,67.0,17.0,69.0,7.0,148.0
31.0,13.0,130.0,76.0,24.0,47.0,144.0,17.0
46.0,59.0,51.0,69.0,32.0,64.0,96.0,140.0
11.0,69.0,63.0,85.0,50.0,14.0,84.0,81.0
88.0,51.0,113.0,88.0,6.0,71.0,47.0,145.0
54.0,15.0,116.0,11.0,50.0,17.0,71.0,100.0
69.0,65.0,130.0,83.0,14.0,86.0,149.0,115.0
42.0,42.0,53.0,18.0,25.0,86.0,144.0,122.0
76.0,22.0,104.0,72.0,68.0,57.0,38.0,115.0
34.0,59.0,136.0,45.0,88.0,5.0,134.0,43.0
61.0,37.0,61.0,41.0,16.0,87.0,148.0,117.0
19.0,36.0,127.0,54.0,59.0,88.0,44.0,138.0
10.0,71.0,44.0,59.0,13.0,20.0,11.0,139.0
44.0,68.0,47.0,10.0,9.0,17.0,64.0,95.0
66.0,19.0,30.0,65.0,58.0,66.0,148.0,72.0
57.0,37.0,111.0,30.0,24.0,70.0,64.0,58.0
