1-响应时间, 1-执行时间, 1-执行成本,2-响应时间, 2-运输时间, 2-运输成本,3-响应时间, 3-运输时间, 3-执行时间, 3-运输成本, 3-执行成本
23.0,34.0,13.0,71.0,42.0,133.0,12.0,65.0,14.0,45.0,63.0
35.0,71.0,137.0,17.0,30.0,150.0,8.0,63.0,8.0,35.0,68.0
81.0,67.0,101.0,21.0,72.0,82.0,30.0,28.0,60.0,118.0,144.0
79.0,5.0,105.0,63.0,85.0,120.0,28.0,27.0,41.0,142.0,32.0
6.0,30.0,64.0,72.0,19.0,10.0,48.0,71.0,48.0,107.0,84.0
35.0,89.0,105.0,60.0,8.0,39.0,74.0,83.0,60.0,39.0,125.0
11.0,10.0,18.0,35.0,37.0,51.0,72.0,10.0,23.0,108.0,50.0
38.0,60.0,132.0,47.0,80.0,142.0,61.0,79.0,27.0,100.0,128.0
34.0,35.0,119.0,88.0,36.0,131.0,61.0,30.0,50.0,126.0,83.0
58.0,6.0,108.0,12.0,59.0,40.0,51.0,36.0,9.0,150.0,6.0
42.0,54.0,146.0,54.0,58.0,110.0,53.0,18.0,87.0,34.0,72.0
31.0,49.0,104.0,72.0,84.0,80.0,63.0,80.0,67.0,147.0,43.0
88.0,14.0,86.0,14.0,76.0,133.0,5.0,28.0,30.0,138.0,22.0
89.0,46.0,95.0,54.0,85.0,148.0,80.0,22.0,67.0,41.0,90.0
49.0,64.0,24.0,84.0,90.0,138.0,69.0,28.0,48.0,66.0,106.0
33.0,15.0,112.0,70.0,21.0,57.0,45.0,23.0,38.0,23.0,38.0
89.0,36.0,45.0,30.0,26.0,130.0,46.0,30.0,22.0,52.0,37.0
61.0,62.0,87.0,23.0,36.0,125.0,51.0,71.0,61.0,56.0,102.0
55.0,54.0,48.0,32.0,80.0,17.0,33.0,33.0,74.0,147.0,122.0
24.0,40.0,123.0,45.0,71.0,104.0,56.0,6.0,56.0,101.0,39.0
77.0,37.0,99.0,62.0,72.0,142.0,27.0,49.0,47.0,81.0,24.0
33.0,86.0,135.0,13.0,36.0,68.0,37.0,58.0,46.0,111.0,115.0
90.0,8.0,25.0,54.0,90.0,127.0,58.0,21.0,83.0,26.0,11.0
27.0,40.0,8.0,26.0,70.0,124.0,22.0,76.0,68.0,108.0,7.0
55.0,27.0,54.0,32.0,47.0,52.0,36.0,25.0,35.0,50.0,143.0
23.0,27.0,31.0,39.0,32.0,21.0,65.0,25.0,50.0,148.0,22.0
86.0,80.0,65.0,52.0,58.0,115.0,83.0,25.0,9.0,122.0,15.0
48.0,32.0,89.0,65.0,89.0,62.0,9.0,21.0,20.0,97.0,81.0
39.0,76.0,82.0,19.0,63.0,54.0,7.0,51.0,87.0,101.0,126.0
62.0,63.0,20.0,89.0,54.0,51.0,40.0,43.0,34.0,94.0,120.0
10.0,82.0,99.0,19.0,28.0,62.0,66.0,68.0,79.0,90.0,136.0
