1-响应时间, 1-执行时间, 1-执行成本,2-响应时间, 2-运输时间, 2-运输成本,3-响应时间, 3-运输时间, 3-执行时间, 3-运输成本, 3-执行成本
62.0,70.0,75.0,31.0,27.0,61.0,60.0,35.0,57.0,116.0,86.0
75.0,42.0,106.0,49.0,18.0,127.0,34.0,54.0,70.0,9.0,79.0
38.0,49.0,49.0,59.0,19.0,98.0,14.0,30.0,50.0,98.0,6.0
70.0,87.0,112.0,7.0,78.0,72.0,28.0,23.0,73.0,13.0,9.0
64.0,53.0,62.0,62.0,81.0,139.0,85.0,7.0,51.0,22.0,36.0
75.0,55.0,65.0,18.0,24.0,106.0,54.0,53.0,66.0,53.0,67.0
14.0,27.0,19.0,20.0,50.0,61.0,14.0,45.0,62.0,139.0,11.0
88.0,58.0,8.0,83.0,44.0,91.0,82.0,16.0,23.0,64.0,5.0
81.0,36.0,12.0,59.0,34.0,25.0,29.0,67.0,51.0,104.0,73.0
63.0,40.0,45.0,8.0,45.0,72.0,68.0,77.0,33.0,105.0,105.0
5.0,76.0,29.0,32.0,37.0,8.0,50.0,53.0,35.0,23.0,31.0
55.0,6.0,103.0,88.0,22.0,96.0,88.0,68.0,22.0,127.0,28.0
60.0,84.0,40.0,73.0,59.0,47.0,54.0,53.0,19.0,146.0,86.0
57.0,82.0,111.0,22.0,9.0,76.0,59.0,31.0,39.0,94.0,94.0
60.0,38.0,8.0,62.0,33.0,146.0,90.0,23.0,74.0,123.0,145.0
90.0,29.0,16.0,17.0,57.0,98.0,46.0,15.0,16.0,52.0,70.0
12.0,19.0,123.0,82.0,65.0,121.0,72.0,61.0,36.0,60.0,64.0
62.0,52.0,45.0,75.0,68.0,90.0,20.0,31.0,79.0,87.0,133.0
20.0,61.0,80.0,39.0,16.0,95.0,82.0,42.0,68.0,24.0,93.0
69.0,22.0,135.0,36.0,30.0,39.0,86.0,12.0,8.0,95.0,150.0
45.0,71.0,9.0,9.0,60.0,27.0,30.0,22.0,47.0,134.0,30.0
60.0,9.0,9.0,9.0,13.0,66.0,60.0,85.0,45.0,62.0,111.0
28.0,75.0,87.0,7.0,23.0,102.0,63.0,15.0,23.0,55.0,149.0
9.0,38.0,115.0,56.0,67.0,101.0,88.0,87.0,76.0,53.0,64.0
84.0,63.0,84.0,70.0,5.0,74.0,62.0,51.0,14.0,106.0,98.0
9.0,59.0,71.0,57.0,8.0,62.0,41.0,22.0,52.0,126.0,57.0
65.0,36.0,27.0,24.0,5.0,34.0,65.0,10.0,30.0,90.0,78.0
30.0,76.0,124.0,22.0,30.0,54.0,13.0,27.0,38.0,6.0,79.0
85.0,16.0,117.0,68.0,13.0,111.0,5.0,69.0,15.0,138.0,146.0
51.0,52.0,15.0,11.0,33.0,115.0,8.0,44.0,80.0,107.0,149.0
73.0,39.0,10.0,84.0,40.0,137.0,27.0,53.0,40.0,116.0,8.0
63.0,40.0,140.0,67.0,8.0,62.0,61.0,52.0,89.0,29.0,68.0
9.0,21.0,62.0,47.0,71.0,93.0,5.0,41.0,52.0,55.0,21.0
88.0,64.0,79.0,8.0,13.0,29.0,47.0,63.0,38.0,34.0,13.0
62.0,17.0,32.0,33.0,75.0,133.0,16.0,81.0,89.0,107.0,145.0
71.0,6.0,119.0,67.0,16.0,21.0,17.0,58.0,41.0,28.0,13.0
39.0,17.0,139.0,9.0,59.0,92.0,37.0,81.0,20.0,41.0,100.0
72.0,53.0,109.0,84.0,64.0,128.0,11.0,36.0,25.0,24.0,22.0
72.0,87.0,98.0,44.0,78.0,145.0,10.0,45.0,54.0,56.0,40.0
9.0,15.0,24.0,47.0,65.0,144.0,71.0,28.0,46.0,106.0,5.0
46.0,41.0,94.0,52.0,64.0,16.0,7.0,35.0,65.0,136.0,56.0
33.0,12.0,53.0,27.0,43.0,17.0,55.0,19.0,21.0,121.0,100.0
80.0,88.0,76.0,64.0,32.0,41.0,83.0,39.0,70.0,150.0,26.0
21.0,80.0,118.0,30.0,17.0,115.0,48.0,7.0,31.0,22.0,81.0
86.0,41.0,146.0,64.0,22.0,48.0,65.0,74.0,69.0,79.0,30.0
