2-响应时间, 2-运输时间, 2-运输成本,3-响应时间, 3-运输时间, 3-执行时间, 3-运输成本, 3-执行成本
67.0,74.0,75.0,58.0,79.0,79.0,148.0,48.0
39.0,79.0,107.0,58.0,37.0,48.0,127.0,123.0
88.0,44.0,33.0,53.0,78.0,78.0,12.0,127.0
6.0,75.0,81.0,70.0,65.0,76.0,111.0,150.0
68.0,47.0,36.0,56.0,70.0,88.0,126.0,83.0
43.0,56.0,36.0,70.0,50.0,26.0,136.0,33.0
60.0,50.0,100.0,12.0,71.0,12.0,72.0,66.0
60.0,89.0,112.0,13.0,64.0,21.0,84.0,21.0
51.0,61.0,17.0,84.0,14.0,74.0,66.0,136.0
42.0,83.0,113.0,45.0,8.0,74.0,66.0,60.0
46.0,37.0,89.0,5.0,17.0,68.0,117.0,126.0
63.0,62.0,17.0,66.0,37.0,23.0,70.0,126.0
72.0,21.0,68.0,63.0,69.0,52.0,134.0,85.0
28.0,9.0,90.0,76.0,5.0,23.0,38.0,55.0
53.0,19.0,59.0,29.0,87.0,89.0,143.0,41.0
68.0,83.0,56.0,15.0,51.0,71.0,46.0,33.0
50.0,69.0,141.0,76.0,33.0,60.0,131.0,136.0
84.0,24.0,47.0,27.0,64.0,9.0,138.0,19.0
55.0,34.0,121.0,52.0,64.0,5.0,12.0,19.0
87.0,30.0,109.0,13.0,78.0,29.0,30.0,61.0
77.0,36.0,141.0,68.0,36.0,19.0,146.0,103.0
81.0,53.0,137.0,68.0,31.0,50.0,98.0,31.0
28.0,26.0,135.0,71.0,60.0,54.0,32.0,32.0
39.0,68.0,34.0,64.0,48.0,77.0,117.0,120.0
12.0,81.0,40.0,19.0,46.0,50.0,118.0,126.0
69.0,28.0,106.0,30.0,54.0,68.0,87.0,84.0
59.0,27.0,125.0,87.0,82.0,64.0,52.0,38.0
38.0,74.0,77.0,34.0,82.0,15.0,6.0,73.0
13.0,68.0,101.0,65.0,63.0,65.0,60.0,19.0
31.0,41.0,83.0,45.0,59.0,28.0,104.0,19.0
29.0,6.0,118.0,50.0,53.0,21.0,122.0,89.0
26.0,42.0,111.0,71.0,9.0,73.0,99.0,85.0
81.0,23.0,113.0,89.0,83.0,70.0,67.0,57.0
24.0,87.0,40.0,76.0,89.0,14.0,128.0,58.0
76.0,62.0,7.0,46.0,23.0,73.0,101.0,134.0
74.0,32.0,89.0,6.0,7.0,70.0,97.0,17.0
74.0,13.0,19.0,35.0,5.0,13.0,19.0,141.0
9.0,18.0,34.0,88.0,56.0,68.0,11.0,25.0
81.0,66.0,133.0,5.0,89.0,68.0,6.0,36.0
90.0,14.0,50.0,77.0,77.0,25.0,123.0,7.0
76.0,28.0,130.0,19.0,20.0,49.0,72.0,24.0
38.0,56.0,55.0,9.0,23.0,26.0,12.0,131.0
75.0,66.0,13.0,69.0,85.0,31.0,7.0,91.0
62.0,51.0,40.0,80.0,9.0,71.0,142.0,28.0
15.0,85.0,84.0,61.0,41.0,29.0,142.0,52.0
37.0,23.0,47.0,62.0,72.0,55.0,121.0,107.0
44.0,14.0,128.0,23.0,25.0,63.0,13.0,16.0
86.0,74.0,82.0,14.0,58.0,62.0,139.0,30.0
70.0,40.0,83.0,51.0,19.0,64.0,69.0,49.0
83.0,14.0,45.0,77.0,80.0,81.0,123.0,126.0
37.0,54.0,73.0,42.0,90.0,46.0,73.0,60.0
5.0,28.0,66.0,45.0,77.0,60.0,56.0,36.0
84.0,12.0,7.0,21.0,54.0,71.0,61.0,128.0
78.0,45.0,39.0,63.0,58.0,46.0,113.0,116.0
38.0,28.0,91.0,12.0,8.0,37.0,58.0,60.0
47.0,34.0,28.0,66.0,20.0,38.0,70.0,149.0
64.0,62.0,121.0,90.0,82.0,57.0,144.0,12.0
68.0,89.0,71.0,64.0,19.0,45.0,72.0,22.0
87.0,90.0,51.0,33.0,76.0,64.0,10.0,144.0
24.0,19.0,147.0,54.0,52.0,52.0,79.0,47.0
25.0,7.0,42.0,76.0,29.0,67.0,55.0,102.0
19.0,68.0,49.0,8.0,89.0,20.0,133.0,80.0
56.0,73.0,60.0,40.0,89.0,57.0,5.0,129.0
31.0,76.0,110.0,22.0,46.0,49.0,66.0,136.0
36.0,51.0,137.0,72.0,72.0,33.0,82.0,110.0
39.0,22.0,130.0,45.0,63.0,19.0,39.0,7.0
54.0,76.0,116.0,86.0,35.0,88.0,12.0,58.0
49.0,27.0,111.0,81.0,84.0,26.0,32.0,95.0
86.0,56.0,6.0,71.0,79.0,39.0,32.0,120.0
71.0,62.0,118.0,76.0,20.0,18.0,71.0,87.0
90.0,64.0,60.0,29.0,19.0,66.0,79.0,92.0
17.0,39.0,111.0,28.0,79.0,45.0,114.0,92.0
12.0,28.0,73.0,61.0,12.0,30.0,74.0,20.0
49.0,72.0,108.0,21.0,18.0,49.0,7.0,99.0
7.0,14.0,77.0,58.0,31.0,12.0,104.0,130.0
15.0,21.0,122.0,10.0,81.0,67.0,56.0,138.0
48.0,5.0,101.0,35.0,56.0,44.0,79.0,120.0
5.0,7.0,38.0,74.0,90.0,66.0,119.0,125.0
14.0,61.0,104.0,6.0,34.0,59.0,127.0,135.0
57.0,74.0,60.0,49.0,11.0,51.0,9.0,64.0
54.0,59.0,26.0,40.0,18.0,71.0,12.0,81.0
8.0,87.0,147.0,62.0,13.0,83.0,119.0,124.0
59.0,86.0,104.0,15.0,78.0,32.0,48.0,85.0
60.0,7.0,85.0,63.0,82.0,55.0,90.0,75.0
43.0,28.0,115.0,49.0,60.0,45.0,62.0,51.0
64.0,58.0,33.0,77.0,73.0,37.0,126.0,46.0
60.0,32.0,59.0,54.0,68.0,24.0,22.0,91.0
38.0,35.0,70.0,80.0,37.0,43.0,57.0,127.0
88.0,82.0,59.0,20.0,19.0,42.0,144.0,26.0
77.0,87.0,120.0,23.0,77.0,73.0,96.0,18.0
83.0,65.0,45.0,67.0,30.0,74.0,148.0,107.0
75.0,13.0,94.0,84.0,23.0,66.0,28.0,136.0
84.0,83.0,90.0,83.0,57.0,55.0,124.0,75.0
85.0,25.0,79.0,59.0,29.0,30.0,77.0,77.0
17.0,31.0,78.0,17.0,49.0,6.0,26.0,66.0
12.0,88.0,98.0,56.0,70.0,12.0,36.0,21.0
16.0,74.0,140.0,33.0,37.0,74.0,79.0,38.0
15.0,39.0,57.0,17.0,63.0,78.0,79.0,56.0
6.0,89.0,132.0,55.0,59.0,38.0,96.0,18.0
9.0,51.0,57.0,39.0,69.0,85.0,60.0,39.0
