1-响应时间, 1-执行时间, 1-执行成本,2-响应时间, 2-运输时间, 2-运输成本,3-响应时间, 3-运输时间, 3-执行时间, 3-运输成本, 3-执行成本
8.0,28.0,12.0,53.0,68.0,96.0,59.0,53.0,14.0,86.0,135.0
7.0,10.0,143.0,61.0,86.0,92.0,60.0,37.0,45.0,84.0,54.0
63.0,68.0,81.0,43.0,67.0,98.0,83.0,75.0,37.0,128.0,23.0
86.0,60.0,25.0,9.0,39.0,115.0,72.0,6.0,41.0,136.0,12.0
24.0,46.0,128.0,50.0,87.0,79.0,70.0,89.0,5.0,60.0,131.0
15.0,71.0,92.0,51.0,72.0,139.0,52.0,55.0,37.0,30.0,11.0
85.0,17.0,40.0,37.0,22.0,9.0,21.0,9.0,47.0,97.0,16.0
34.0,68.0,118.0,15.0,8.0,133.0,10.0,84.0,89.0,125.0,45.0
57.0,13.0,72.0,52.0,35.0,92.0,31.0,31.0,23.0,54.0,136.0
50.0,73.0,22.0,21.0,68.0,66.0,87.0,43.0,80.0,81.0,34.0
33.0,66.0,72.0,82.0,51.0,105.0,6.0,75.0,19.0,63.0,121.0
5.0,87.0,87.0,90.0,34.0,28.0,9.0,36.0,72.0,36.0,127.0
54.0,64.0,53.0,53.0,6.0,21.0,75.0,72.0,34.0,48.0,8.0
60.0,85.0,111.0,38.0,17.0,43.0,46.0,17.0,75.0,125.0,69.0
64.0,37.0,125.0,54.0,88.0,104.0,35.0,38.0,68.0,25.0,42.0
14.0,75.0,26.0,39.0,52.0,9.0,28.0,72.0,28.0,135.0,67.0
33.0,87.0,10.0,47.0,49.0,11.0,41.0,17.0,42.0,43.0,53.0
30.0,76.0,149.0,42.0,10.0,68.0,85.0,43.0,26.0,73.0,142.0
87.0,81.0,87.0,40.0,36.0,137.0,46.0,6.0,22.0,84.0,58.0
72.0,29.0,105.0,71.0,49.0,106.0,32.0,78.0,34.0,137.0,150.0
18.0,78.0,73.0,60.0,88.0,104.0,82.0,59.0,40.0,81.0,66.0
61.0,36.0,140.0,67.0,80.0,114.0,24.0,38.0,73.0,77.0,139.0
52.0,64.0,17.0,51.0,69.0,72.0,33.0,29.0,29.0,149.0,144.0
25.0,78.0,32.0,55.0,15.0,147.0,89.0,63.0,30.0,134.0,113.0
42.0,87.0,134.0,22.0,69.0,60.0,70.0,58.0,41.0,5.0,114.0
69.0,86.0,12.0,57.0,42.0,97.0,15.0,27.0,27.0,31.0,49.0
38.0,69.0,8.0,83.0,33.0,76.0,82.0,41.0,54.0,91.0,6.0
72.0,9.0,87.0,24.0,33.0,128.0,35.0,28.0,85.0,96.0,35.0
57.0,51.0,103.0,75.0,59.0,82.0,23.0,43.0,46.0,62.0,28.0
62.0,45.0,72.0,13.0,31.0,15.0,26.0,17.0,17.0,77.0,99.0
86.0,72.0,52.0,10.0,38.0,30.0,41.0,49.0,21.0,81.0,81.0
26.0,85.0,62.0,57.0,24.0,136.0,29.0,61.0,17.0,86.0,17.0
47.0,25.0,140.0,42.0,60.0,71.0,5.0,18.0,26.0,83.0,87.0
66.0,69.0,100.0,63.0,12.0,136.0,74.0,33.0,14.0,13.0,17.0
14.0,39.0,45.0,74.0,73.0,11.0,66.0,19.0,72.0,112.0,127.0
46.0,11.0,122.0,71.0,69.0,49.0,63.0,17.0,28.0,64.0,45.0
90.0,51.0,122.0,22.0,46.0,22.0,9.0,11.0,50.0,19.0,140.0
23.0,79.0,54.0,40.0,70.0,143.0,57.0,34.0,43.0,150.0,67.0
57.0,22.0,51.0,84.0,72.0,145.0,24.0,68.0,58.0,39.0,15.0
61.0,88.0,73.0,69.0,77.0,44.0,87.0,19.0,85.0,56.0,68.0
77.0,70.0,23.0,74.0,75.0,105.0,37.0,25.0,9.0,104.0,105.0
6.0,68.0,113.0,38.0,26.0,88.0,48.0,38.0,80.0,8.0,113.0
22.0,11.0,66.0,59.0,47.0,133.0,58.0,89.0,71.0,28.0,145.0
83.0,61.0,147.0,12.0,81.0,6.0,84.0,9.0,38.0,94.0,149.0
70.0,86.0,63.0,57.0,64.0,131.0,24.0,8.0,5.0,92.0,51.0
53.0,56.0,17.0,72.0,13.0,143.0,16.0,22.0,28.0,115.0,6.0
80.0,16.0,29.0,60.0,55.0,64.0,8.0,56.0,73.0,76.0,46.0
69.0,63.0,51.0,8.0,14.0,140.0,28.0,65.0,20.0,127.0,130.0
20.0,28.0,90.0,50.0,60.0,72.0,63.0,88.0,70.0,23.0,37.0
66.0,35.0,75.0,30.0,74.0,34.0,13.0,66.0,40.0,147.0,109.0
12.0,64.0,75.0,24.0,23.0,145.0,78.0,24.0,49.0,32.0,33.0
79.0,67.0,75.0,41.0,67.0,24.0,58.0,12.0,44.0,10.0,93.0
76.0,81.0,38.0,54.0,21.0,14.0,36.0,9.0,63.0,118.0,42.0
13.0,24.0,127.0,8.0,61.0,131.0,60.0,79.0,10.0,45.0,106.0
67.0,43.0,98.0,52.0,67.0,52.0,25.0,39.0,39.0,101.0,10.0
40.0,15.0,57.0,63.0,29.0,13.0,38.0,10.0,49.0,98.0,27.0
68.0,72.0,102.0,31.0,80.0,61.0,10.0,14.0,65.0,70.0,102.0
